Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
25,tt1826940,2022-10-03,2022-10-03,,"New Girl","New Girl",https://www.imdb.com/title/tt1826940/,TV Series,7.8,22,2011,"Comedy, Romance",263651,2011-09-20,
26,tt3526078,2022-10-03,2022-10-03,,"Schitt's Creek","Schitt$ Creek",https://www.imdb.com/title/tt3526078/,TV Series,8.5,22,2015,"Comedy",174046,2015-02-11,
27,tt7879820,2022-10-16,2022-10-16,,"On My Block","On My Block",https://www.imdb.com/title/tt7879820/,TV Series,7.8,30,2018,"Comedy, Drama",22199,2018-03-16,
28,tt0262150,2022-10-23,2022-10-23,,"Black Books","Black Books",https://www.imdb.com/title/tt0262150/,TV Series,8.4,25,2000,"Comedy",64452,2001-12-09,
29,tt11738792,2022-12-11,2022-12-11,,"Taylor Tomlinson: Quarter-Life Crisis","Taylor Tomlinson: Quarter-Life Crisis",https://www.imdb.com/title/tt11738792/,TV Special,7.4,61,2020,"Comedy",5920,2020-03-03,"Marcus Raboy"
30,tt3502172,2023-01-21,2023-01-21,,"Mozart in the Jungle","Mozart in the Jungle",https://www.imdb.com/title/tt3502172/,TV Series,8.1,30,2014,"Comedy, Drama, Music",27168,2014-02-06,
31,tt5687612,2023-01-21,2023-01-21,,"Fleabag","Fleabag",https://www.imdb.com/title/tt5687612/,TV Series,8.7,30,2016,"Comedy, Drama",247293,2016-09-16,
32,tt4477976,2023-01-21,2023-01-21,,"Superstore","Superstore",https://www.imdb.com/title/tt4477976/,TV Series,7.8,22,2015,"Comedy",84720,2015-11-30,
33,tt0460681,2023-01-21,2023-01-21,,"Supernatural","Supernatural",https://www.imdb.com/title/tt0460681/,TV Series,8.4,44,2005,"Drama, Fantasy, Horror, Mystery, Thriller",540283,2005-09-13,
34,tt0368530,2023-01-21,2023-01-21,,"One Tree Hill","One Tree Hill",https://www.imdb.com/title/tt0368530/,TV Series,7.8,60,2003,"Drama, Romance, Sport",94594,2003-09-23,
35,tt0362359,2023-01-21,2023-01-21,,"The O.C.","The O.C.",https://www.imdb.com/title/tt0362359/,TV Series,7.6,44,2003,"Comedy, Drama, Romance",104119,2003-08-05,
36,tt4016454,2023-01-21,2023-01-21,,"Supergirl","Supergirl",https://www.imdb.com/title/tt4016454/,TV Series,6.2,43,2015,"Action, Adventure, Drama, Sci-Fi",134966,2015-10-26,
37,tt3107288,2023-01-21,2023-01-21,,"The Flash","The Flash",https://www.imdb.com/title/tt3107288/,TV Series,7.5,43,2014,"Action, Adventure, Drama, Sci-Fi",386004,2014-10-07,
38,tt11192306,2023-07-05,2023-07-05,,"Superman & Lois","Superman & Lois",https://www.imdb.com/title/tt11192306/,TV Series,7.8,42,2021,"Action, Adventure, Drama, Sci-Fi",50154,2021-02-23,
39,tt1845307,2023-07-05,2023-07-05,,"2 Broke Girls","2 Broke Girls",https://www.imdb.com/title/tt1845307/,TV Series,6.7,22,2011,"Comedy",114985,2011-09-19,
40,tt10638036,2023-07-05,2023-07-05,,"Heartstopper","Heartstopper",https://www.imdb.com/title/tt10638036/,TV Series,8.5,30,2022,"Drama, Romance",93344,2022-04-22,
41,tt0098904,2023-08-29,2023-08-29,,"Seinfeld","Seinfeld",https://www.imdb.com/title/tt0098904/,TV Series,8.9,22,1989,"Comedy",384978,1989-07-05,
42,tt0436992,2023-12-06,2023-12-06,,"Doctor Who","Doctor Who",https://www.imdb.com/title/tt0436992/,TV Series,8.5,45,2005,"Adventure, Drama, Sci-Fi",262788,2006-03-17,
43,tt0273366,2024-02-13,2024-02-13,,"Lizzie McGuire","Lizzie McGuire",https://www.imdb.com/title/tt0273366/,TV Series,6.6,30,2001,"Comedy, Drama, Family",21692,2001-01-12,
44,tt0206511,2024-02-13,2024-02-13,,"Even Stevens","Even Stevens",https://www.imdb.com/title/tt0206511/,TV Series,7.6,30,2000,"Comedy, Family",16014,2000-06-17,
45,tt13657062,2024-02-13,2024-02-13,,"iCarly","iCarly",https://www.imdb.com/title/tt13657062/,TV Series,6.7,26,2021,"Comedy, Drama, Romance",6774,2021-06-12,
46,tt0972534,2024-02-13,2024-02-13,,"iCarly","iCarly",https://www.imdb.com/title/tt0972534/,TV Series,6.8,30,2007,"Comedy, Family, Romance",50148,2007-09-08,
47,tt0103369,2024-02-13,2024-02-13,,"Sailor Moon","Bishôjo senshi Sêrâ Mûn",https://www.imdb.com/title/tt0103369/,TV Series,7.8,30,1992,"Animation, Action, Adventure, Comedy, Family, Fantasy, Romance",8977,1995-09-11,
48,tt1442464,2024-02-25,2024-02-25,,"The Middle","The Middle",https://www.imdb.com/title/tt1442464/,TV Series,7.7,22,2009,"Comedy, Family",61290,2009-09-30,
49,tt15677150,2024-03-28,2024-03-28,,"Shrinking","Shrinking",https://www.imdb.com/title/tt15677150/,TV Series,8.2,33,2023,"Comedy, Drama",124786,2023-01-27,
50,tt14500082,2024-04-14,2024-04-14,,"How I Met Your Father","How I Met Your Father",https://www.imdb.com/title/tt14500082/,TV Series,5.7,30,2022,"Comedy, Drama",29058,2022-01-18,
51,tt10986410,2024-04-14,2024-04-14,,"Ted Lasso","Ted Lasso",https://www.imdb.com/title/tt10986410/,TV Series,8.7,30,2020,"Comedy, Drama, Sport",445174,2020-08-14,
52,tt11815682,2024-04-14,2024-04-14,,"Hacks","Hacks",https://www.imdb.com/title/tt11815682/,TV Series,8.2,30,2021,"Comedy, Drama",65115,2021-05-13,
53,tt10801368,2024-04-14,2024-04-14,,"Starstruck","Starstruck",https://www.imdb.com/title/tt10801368/,TV Series,7.5,30,2021,"Comedy, Romance",9384,2021-06-10,
54,tt14914464,2024-04-21,2024-04-21,,"Strange Planet","Strange Planet",https://www.imdb.com/title/tt14914464/,TV Series,6.4,,2023,"Animation, Comedy, Drama",1955,2023-08-09,
55,tt10970364,2024-06-05,2024-06-05,,"The Girls on the Bus","The Girls on the Bus",https://www.imdb.com/title/tt10970364/,TV Series,6.7,47,2024,"Drama",2095,2024-03-14,
56,tt9214684,2024-10-02,2024-10-02,,"Home Economics","Home Economics",https://www.imdb.com/title/tt9214684/,TV Series,7.0,30,2021,"Comedy",7092,2021-04-07,
57,tt14218830,2024-10-06,2024-10-06,,"Abbott Elementary","Abbott Elementary",https://www.imdb.com/title/tt14218830/,TV Series,8.2,22,2021,"Comedy",52990,2021-12-07,
58,tt3216682,2024-10-13,2024-10-13,,"A to Z","A to Z",https://www.imdb.com/title/tt3216682/,TV Series,6.7,24,2014,"Comedy, Romance",6236,2014-10-02,
59,tt11691774,2024-11-06,2024-11-06,,"Only Murders in the Building","Only Murders in the Building",https://www.imdb.com/title/tt11691774/,TV Series,8.0,30,2021,"Comedy, Crime, Drama, Mystery, Thriller",204048,2021-08-31,
60,tt2364582,2024-11-10,2024-11-10,,"Agents of S.H.I.E.L.D.","Agents of S.H.I.E.L.D.",https://www.imdb.com/title/tt2364582/,TV Series,7.5,45,2013,"Action, Adventure, Sci-Fi, Thriller",235517,2013-09-24,
61,tt7908628,2025-04-19,2025-04-19,,"What We Do in the Shadows","What We Do in the Shadows",https://www.imdb.com/title/tt7908628/,TV Series,8.5,30,2019,"Comedy, Fantasy, Horror",127058,2019-03-27,
62,tt11379026,2025-04-19,2025-04-19,,"Ghosts","Ghosts",https://www.imdb.com/title/tt11379026/,TV Series,7.9,21,2021,"Comedy, Fantasy",49827,2021-10-07,
63,tt12759100,2025-04-19,2025-04-19,,"Somebody Somewhere","Somebody Somewhere",https://www.imdb.com/title/tt12759100/,TV Series,8.3,30,2022,"Comedy, Drama",18662,2022-01-16,
